grossIncome,state
14923738,ND
15216840,WY
15246152,VT
17312636,AK
17825580,SD
18177370,DC
20045504,MT
22983204,DE
26532233,RI
28954363,ME
30292717,ID
30592983,HI
32243697,WV
38144029,NM
38175000,NH
41569440,NE
47387966,MS
49783294,AR
55426179,UT
65216515,KS
65272642,NV
68946837,IA
70394493,OK
81721206,KY
84029967,LA
85591882,OR
88615194,SC
92162773,AL
122697142,CT
126270760,TN
128175529,CO
131166510,MO
134442007,AZ
140516394,WI
140616570,IN
143482070,MN
168647138,MD
175730868,WA
195374554,NC
199864840,GA
202226349,MA
217677476,VA
227233854,MI
259099675,OH
283024874,NJ
313289892,PA
339217881,IL
429785960,FL
504386602,TX
513598458,NY
913619942,CA
